Transaction_ID,Date,Category,Description,Payment_Method,Amount,Type,Month
TXN0001,2026-01-01,Salary,Monthly Salary,Bank Transfer,55000.0,Income,2026-01
TXN0033,2026-01-01,Transport,Bus,Cash,110.69,Expense,2026-01
TXN0040,2026-01-02,Other,Donation,Credit Card,682.48,Expense,2026-01
TXN0056,2026-01-02,Shopping,Clothes,UPI,539.39,Expense,2026-01
TXN0041,2026-01-03,Transport,Metro,UPI,343.44,Expense,2026-01
TXN0050,2026-01-03,Education,Books,Credit Card,468.44,Expense,2026-01
TXN0012,2026-01-03,Bills,Electricity,Cash,98.5,Expense,2026-01
TXN0049,2026-01-03,Entertainment,Games,UPI,434.63,Expense,2026-01
TXN0003,2026-01-03,Food,Restaurant,Bank Transfer,1782.13,Expense,2026-01
TXN0004,2026-01-03,Entertainment,Movies,UPI,779.57,Expense,2026-01
TXN0009,2026-01-04,Transport,Bus,Debit Card,1190.74,Expense,2026-01
TXN0054,2026-01-04,Bills,Water Bill,Credit Card,1660.75,Expense,2026-01
TXN0032,2026-01-04,Rent,House Rent,Debit Card,553.76,Expense,2026-01
TXN0060,2026-01-04,Travel,Vacation,Bank Transfer,98.5,Expense,2026-01
TXN0028,2026-01-05,Food,Restaurant,UPI,131.87,Expense,2026-01
TXN0036,2026-01-05,Healthcare,Pharmacy,Credit Card,1995.57,Expense,2026-01
TXN0019,2026-01-06,Healthcare,Pharmacy,Credit Card,440.44,Expense,2026-01
TXN0043,2026-01-06,Food,Food Delivery,Bank Transfer,404.69,Expense,2026-01
TXN0005,2026-01-07,Food,Restaurant,Bank Transfer,540.5,Expense,2026-01
TXN0013,2026-01-07,Entertainment,OTT Subscription,Bank Transfer,2074.27,Expense,2026-01
TXN0020,2026-01-08,Bills,Mobile Bill,Bank Transfer,334.82,Expense,2026-01
TXN0047,2026-01-08,Rent,House Rent,UPI,643.11,Expense,2026-01
TXN0057,2026-01-08,Shopping,Electronics,UPI,1509.38,Expense,2026-01
TXN0026,2026-01-08,Rent,House Rent,Debit Card,360.52,Expense,2026-01
TXN0002,2026-01-08,Food,Coffee,Credit Card,277.83,Expense,2026-01
TXN0022,2026-01-09,Food,Coffee,Cash,560.3,Expense,2026-01
TXN0024,2026-01-09,Bills,Water Bill,Credit Card,204.56,Expense,2026-01
TXN0038,2026-01-11,Rent,House Rent,Bank Transfer,215.08,Expense,2026-01
TXN0008,2026-01-11,Rent,House Rent,Cash,98.5,Expense,2026-01
TXN0017,2026-01-12,Rent,House Rent,Debit Card,119.96,Expense,2026-01
TXN0045,2026-01-13,Food,Groceries,Debit Card,1421.16,Expense,2026-01
TXN0064,2026-01-13,Food,Food Delivery,UPI,1044.7,Expense,2026-01
TXN0058,2026-01-14,Food,Food Delivery,Credit Card,98.5,Expense,2026-01
TXN0055,2026-01-14,Food,Food Delivery,Debit Card,1333.38,Expense,2026-01
TXN0025,2026-01-14,Food,Coffee,Bank Transfer,270.14,Expense,2026-01
